Marca_Limpia,Vendedor,Tienda_ecom
CATERPILLAR,Vtex,Coliseum
CATERPILLAR,Vtex1,Coliseum
CATERPILLAR,Vtex3,Caterpillar
CATERPILLAR,Vtex4,Caterpillar
CATERPILLAR,ecomnba,Caterpillar
CATERPILLAR,ecomcnv,Caterpillar
CONVERSE,Vtex,Coliseum
CONVERSE,Vtex1,Coliseum
CONVERSE,Vtex2,Coliseum
FILA,Vtex,Coliseum
FILA,Vtex1,Coliseum
FILA,Vtex2,Coliseum
FILA,Vtex4,Coliseum
FILA,ecomnba,Coliseum
FILA,ecomcnv,Coliseum
HITEC,Vtex,Coliseum
HITEC,Vtex1,Coliseum
HITEC,ecomcnv,Coliseum
MAGNUM,Vtex,Coliseum
MERRELL,Vtex,Coliseum
MERRELL,Vtex1,Merrell
MERRELL,Vtex2,Merrell
MERRELL,Vtex4,Merrell
MERRELL,ecomnba,Merrell
MERRELL,ecomcnv,Merrell
STEVE MADDEN,Vtex,Coliseum
STEVE MADDEN,Vtex1,Steve Madden
STEVE MADDEN,Vtex2,Steve Madden
STEVE MADDEN,ecomnba,Steve Madden
STEVE MADDEN,ecomcnv,Steve Madden
UMBRO,Vtex,Coliseum
UMBRO,Vtex1,Coliseum
UMBRO,Vtex3,Coliseum
UMBRO,Vtex4,Coliseum
UMBRO,ecomumb,Umbro
UMBRO,ecomnba,Umbro
CONVERSE,Vtex4,Coliseum
UNICO,Vtex,Coliseum
UNICO,Vtex1,Steve Madden
UNICO,Vtex2,Merrell
UNICO,Vtex3,Coliseum
UNICO,Vtex4,Caterpillar
CONVERSE,Vtex3,Coliseum
STEVE MADDEN,Vtex4,Coliseum
CATERPILLAR,Vtex2,Coliseum
UMBRO,Vtex2,Coliseum
NEW BALANCE,Vtex,Coliseum
NEW BALANCE,Vtex1,Coliseum
NEW BALANCE,Vtex2,Coliseum
NEW BALANCE,Vtex3,Coliseum
NEW BALANCE,Vtex4,Coliseum
NEW BALANCE,ecomcnv,New Balance
NEW BALANCE,ecomnba,New Balance
CONVERSE,ecomcnv,Converse
CONVERSE,ecomnba,Converse
CONVERSE,ConverseWEB,Converse
UNICO,ecomcnv,Converse
UNICO,ecomnba,New Balance
UNICO,ConverseWEB,Converse
Clean Lab,Vtex,Coliseum
Clean Lab,Vtex4,Coliseum
Clean Lab,ecomnba,Coliseum
LineaNuova,Vtex1,Steve Madden
LineaNuova,Vtex,Steve Madden
NEW BALANCE,ecommeli,MercadoLibre
CATERPILLAR,ecomfal,Falabella
CONVERSE,ecomfal,Falabella
FILA,ecomfal,Falabella
HITEC,ecomfal,Falabella
MERRELL,ecomfal,Falabella
NEW BALANCE,ecomfal,Falabella
STEVE MADDEN,ecomfal,Falabella
UMBRO,ecomfal,Falabella
UNICO,ecomfal,Falabella
CATERPILLAR,ecomrip,Ripley
CONVERSE,ecomrip,Ripley
FILA,ecomrip,Ripley
HITEC,ecomrip,Ripley
MERRELL,ecomrip,Ripley
NEW BALANCE,ecomrip,Ripley
STEVE MADDEN,ecomrip,Ripley
UMBRO,ecomrip,Ripley
UNICO,ecomrip,Ripley
