Marca,Marca_Limpia,Activa
CONVERSE   ,CONVERSE,1
CATERPILLAR,CATERPILLAR,1
UMBRO      ,UMBRO,1
COLE HAAN,COLE HAAN,0
FILA,FILA,1
STEVE MADDE,STEVE MADDEN,1
MERRELL    ,MERRELL,1
HAVAIANAS,HAVAIANAS,0
HI TEC     ,HITEC,1
MADDEN GIRL ,STEVE MADDEN,1
CHACO      ,CHACO,0
SAUCONY,SAUCONY,0
JOMA       ,JOMA,0
HARLEY-DAVI,HARLEY-DAVI,0
PATAGONIA  ,PATAGONIA,0
WOLVERINE  ,WOLVERINE,0
HIGH SIERRA,HIGH SIERRA,0
UNICO      ,UNICO,0
SEBAGO,SEBAGO,0
BATES      ,BATES,0
MAGNUM,MAGNUM,0
Spidertech,Spidertech,0
Runztore,Runztore,0
Sofsole,Sofsole,0
Sport Travel Towel,Sport Travel Towel,0
Oakley,Oakley,0
Sofradim,Sofradim,0
LineaNuova,LineaNuova,0
PERU,PERU,0
CONVERSE,CONVERSE,1
UMBRO,UMBRO,1
MERRELL,MERRELL,1
MADDEN GIRL,STEVE MADDEN,1
HI TEC,HITEC,1
JOMA,JOMA,0
WOLVERINE,WOLVERINE,0
UNICO,UNICO,0
NEW BALANCE,NEW BALANCE,1
Clean Lab,CLEAN LAB,0
MADDEN,STEVE MADDEN,1
